Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
NtrC-Pasp DNA-binding-site 88 bases upstream of ddpXp1	1563195	Regulation of ddpXp1 by DNA-binding transcriptional dual regulator NtrC-phosphorylated
Pasp56 RcsB DNA-binding-site 64.5 bases upstream of gadBp2	1572136.5	Regulation of gadBp2 by DNA-binding transcriptional dual regulator RcsB-phosphorylated // Regulation of gadBp by DNA-binding transcriptional dual regulator RcsB-phosphorylated
Fis DNA-binding-site 119 bases downstream of cspAp1	3720007	Regulation of cspAp1 by DNA-binding transcriptional dual regulator Fis
RcdA DNA-binding-site 33.5 bases downstream of sulAp	1020914.5	Regulation of sulAp by DNA binding transcriptional dual regulator RcdA
NsrR DNA-binding-site 218 bases upstream of fliAp2	2002026	Regulation of fliAp2 by DNA-binding transcriptional dual regulator NsrR // Regulation of fliAp1 by DNA-binding transcriptional dual regulator NsrR
GcvA DNA-binding-site 66 bases upstream of gcvTp	3050838	Regulation of gcvTp by DNA-binding transcriptional dual regulator GcvA
Fnr DNA-binding-site regulating ssuEp		Regulation of ssuEp by DNA-binding transcriptional dual regulator FNR
SoxS DNA-binding-site 40.5 bases upstream of acrZp	794710.5	Regulation of acrZp by DNA-binding transcriptional dual regulator SoxS
MntR DNA-binding-site 17.5 bases upstream of dpsp2	848967.5	Regulation of dpsp2 by MntR-Mn2+ DNA-binding transcriptional dual regulator // Regulation of dpsp by MntR-Mn2+ DNA-binding transcriptional dual regulator
GlpR DNA-binding-site 455.5 bases downstream of glpDp	3562425.5d0	Regulation of glpDp by DNA-binding transcriptional repressor GlpR
CytR DNA-binding-site 10.5 bases upstream of ppiAp4	3492459.5	Regulation of ppiAp4 by DNA-binding transcriptional repressor CytR // Regulation of ppiAp3 by DNA-binding transcriptional repressor CytR // Regulation of ppiAp2 by DNA-binding transcriptional repressor CytR
Fis DNA-binding-site 72 bases upstream of ndhp	1165920	Regulation of ndhp by DNA-binding transcriptional dual regulator Fis
RcdA DNA-binding-site regulating rsdp2		Regulation of rsdp2 by DNA binding transcriptional dual regulator RcdA
HicB DNA-binding-site 30.5 bases upstream of hicAp2	1509244.5	Regulation of hicAp2 by antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB
TrpR-trp DNA-binding-site 3.5 bases upstream of trpLp	1323111.5	Regulation of trpLp by DNA-binding transcriptional repressor TrpR-L-tryptophan
CpxR-phosphorylated DNA-binding-site 52 bases upstream of csgDp3	1103396	Regulation of csgDp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 103.5 bases upstream of uhpTp	3847301.5	Regulation of uhpTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
ArgP DNA-binding-site 59.5 bases upstream of gdhAp	1842248.5	Regulation of gdhAp by DNA-binding transcriptional dual regulator ArgP
MlrA DNA-binding-site 117.5 bases upstream of ibaGp2	3337003.5	Regulation of ibaGp2 by DNA-binding transcriptional activator MlrA
ArcA-Pasp54 DNA-binding-site 5 bases upstream of aldAp	1488185	Regulation of aldAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
RcsAB DNA-binding-site 125 bases upstream of rcsAp	2023711	Regulation of rcsAp by RcsAB DNA-binding transcriptional dual regulator
NorR DNA-binding-site 21 bases upstream of norRp	2832328	Regulation of norRp by DNA-binding transcriptional dual regulator NorR // Regulation of norVp by DNA-binding transcriptional dual regulator NorR
TrpR-trp DNA-binding-site 56.5 bases downstream of aroLp1	406335.5d0	Regulation of aroLp1 by DNA-binding transcriptional repressor TrpR-L-tryptophan
CytR DNA-binding-site 33.5 bases upstream of rpoHp3	3600903.5	Regulation of rpoHp3 by DNA-binding transcriptional repressor CytR // Regulation of rpoHp5 by DNA-binding transcriptional repressor CytR // Regulation of rpoHp4 by DNA-binding transcriptional repressor CytR
AraC-arabinose DNA-binding-site 10 bases upstream of araCp	70213	Regulation of araCp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator // Regulation of araBp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator
GadE DNA-binding-site regulating fliCp		Regulation of fliCp by DNA-binding transcriptional activator GadE
RhaS-rhamnose DNA-binding-site 73 bases upstream of rhaBp	4097545	Regulation of rhaBp by RhaS-L-rhamnose DNA-binding transcriptional activator
Lrp DNA-binding-site regulating cadBp		Regulation of cadBp by DNA-binding transcriptional dual regulator Lrp
GadX DNA-binding-site 126.5 bases upstream of hdeAp2	3656917.5	Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of hdeAp by DNA-binding transcriptional dual regulator GadX // Regulation of hdeAp by DNA-binding transcriptional dual regulator GadX
AraC-arabinose DNA-binding-site 65 bases upstream of araEp	2982273	Regulation of araEp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator
GadRcs DNA-binding-site regulating adiCp7		Regulation of adiCp7 by GadE-RcsB DNA-binding transcriptional activator
Lrp DNA-binding-site 5 bases downstream of ilvIp2	85544	Regulation of ilvIp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of ilvIHp1 by DNA-binding transcriptional dual regulator Lrp
Fur DNA-binding-site regulating sdhCDAB		Regulation of sdhCDAB by DNA-binding transcriptional dual regulator Fur // Regulation of sdhCDAB by DNA-binding transcriptional dual regulator Fur
NarP-Pasp59 DNA-binding-site 100 bases upstream of fdnGp	1547272	Regulation of fdnGp by DNA-binding transcriptional dual regulator NarP-phosphorylated
Fnr DNA-binding-site 112.5 bases upstream of katGp	4133699.5d0	Regulation of katGp by DNA-binding transcriptional dual regulator FNR
NagC DNA-binding-site 4 bases downstream of manXp	1901936	Regulation of manXp by DNA-binding transcriptional dual regulator NagC
GadRcs DNA-binding-site 62.5 bases upstream of gadAp2	3667669.5	Regulation of gadAp2 by GadE-RcsB DNA-binding transcriptional activator // Regulation of gadAp by GadE-RcsB DNA-binding transcriptional activator
Pasp56 RcsB DNA-binding-site 43.5 bases upstream of ftsAp1	103517.5	Regulation of ftsAp1 by DNA-binding transcriptional dual regulator RcsB-phosphorylated
Fnr DNA-binding-site 43.5 bases upstream of hypBp	2850795.5	Regulation of hypBp by DNA-binding transcriptional dual regulator FNR
Nac DNA-binding-site regulating ykgL	311576	Regulation of ykgL by DNA-binding transcriptional dual regulator Nac
ArcA-Pasp54 DNA-binding-site 22 bases upstream of tpxp	1388866	Regulation of tpxp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 6 bases downstream of gpmAp4	787627	Regulation of gpmAp4 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of gpmAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
KdgR DNA-binding-site 76 bases upstream of eddp	1934789	Regulation of eddp by DNA-binding transcriptional repressor KdgR
CytR DNA-binding-site 82.5 bases upstream of cddp	2231736.5	Regulation of cddp by DNA-binding transcriptional repressor CytR
NarL-Pasp59 DNA-binding-site 285 bases downstream of focAp3	954530	Regulation of focAp3 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of focAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 26.5 bases upstream of ugpBp2	3592452.5	Regulation of ugpBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fis DNA-binding-site 22 bases downstream of xylFp	3731090	Regulation of xylFp by DNA-binding transcriptional dual regulator Fis
GntR DNA-binding-site 93.5 bases upstream of eddp	1934806.5	Regulation of eddp by DNA-binding transcriptional repressor GntR
DNA-binding transcriptional dual regulator Fur DNA-binding-site 77 bases upstream of ftnAp	1988605	Regulation of ftnAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
AsnC DNA-binding-site 85.5 bases upstream of asnCp	3927116.5	Regulation of asnCp by DNA-binding transcriptional dual regulator AsnC // Regulation of asnAp by DNA-binding transcriptional dual regulator AsnC
SlyA DNA-binding-site 74.5 bases upstream of paaAp	1453790.5	Regulation of paaAp by DNA-binding transcriptional dual regulator SlyA
HdfR DNA-binding-site regulating gltBp2		Regulation of gltBp2 by DNA-binding transcriptional dual regulator HdfR // Regulation of gltBp by DNA-binding transcriptional dual regulator HdfR
PhoP-Pasp51 DNA-binding-site 33.0 bases upstream of phoPp1	1190516.0d0	Regulation of phoPp1 by DNA-binding transcriptional dual regulator PhoP-phosphorylated // Regulation of phoPp2 by DNA-binding transcriptional dual regulator PhoP-phosphorylated
HipAB DNA-binding-site 5 bases downstream of relAp1	2913825	Regulation of relAp1 by HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating oxyRp2		Regulation of oxyRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of oxyRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
ArgR-arg DNA-binding-site 121.5 bases upstream of astCp2	1832165.5	Regulation of astCp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator
RcsB-BglJ DNA-binding-site 51.5 bases upstream of yidLp	3860201.5	Regulation of yidLp by RcsB-BglJ DNA-binding transcriptional activator
NanR DNA-binding-site 384.5 bases upstream of yjhBp2	4503635.5	Regulation of yjhBp2 by DNA-binding transcriptional dual regulator NanR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63 bases upstream of dusBp	3410183	Regulation of dusBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of dusBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CsgD DNA-binding-site 33.5 bases downstream of fliEp2	2013060.5	Regulation of fliEp2 by DNA-binding transcriptional dual regulator CsgD // Regulation of fliEp1 by DNA-binding transcriptional dual regulator CsgD // Regulation of fliFp1 by DNA-binding transcriptional dual regulator CsgD
Mlc DNA-binding-site 6 bases upstream of ptsGp1	1157760	Regulation of ptsGp1 by DNA-binding transcriptional repressor Mlc
Nac DNA-binding-site 75 bases upstream of nacp	2062053	Regulation of nacp by DNA-binding transcriptional dual regulator Nac
FhlA-formate DNA-binding-site 98 bases upstream of hycAp	2850559	Regulation of hycAp by FhlA-formate DNA-binding transcriptional activator
ArcA-Pasp54 DNA-binding-site 10 bases downstream of lldPp	3777298	Regulation of lldPp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
ArgR-arg DNA-binding-site 55.5 bases upstream of lysOp	914950.5	Regulation of lysOp by ArgR-L-arginine DNA-binding transcriptional dual regulator
ArcA-Pasp54 DNA-binding-site 137 bases upstream of aldAp	1488053	Regulation of aldAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
LexA DNA-binding-site 129.5 bases upstream of uvrYp2	1995535.5	Regulation of uvrYp2 by DNA-binding transcriptional repressor LexA
GalR-galactose DNA-binding-site 8.5 bases downstream of galRp	2976576.5	Regulation of galRp by GalR-D-galactose
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 296.5 bases upstream of nirBp	3493690.5d0	Regulation of nirBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
PurR-hypoxanthine DNA-binding-site 28.5 bases upstream of cvpAp1	2430828.5	Regulation of cvpAp1 by DNA-binding transcriptional repressor PurR-hypoxanthine
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 52.5 bases upstream of marRp	1619040.5	Regulation of marRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GlaR DNA-binding-site regulating yqhC	3154852	Regulation of yqhC by DNA-binding transcriptional repressor GlaR
ComR DNA-binding-site regulating bhsAp		Regulation of bhsAp by DNA-binding transcriptional repressor ComR
FimZ DNA-binding-site regulating sfmAC	557981	Regulation of sfmAC by LuxR family transcriptional regulator FimZ
RhaR-rhamnose DNA-binding-site 40 bases upstream of rhaSp2	4097671	Regulation of rhaSp2 by RhaR-L-rhamnose DNA-binding transcriptional activator // Regulation of rhaSp by RhaR-L-rhamnose DNA-binding transcriptional activator
PurR-hypoxanthine DNA-binding-site 48.5 bases upstream of prsp	1262225.5	Regulation of prsp by DNA-binding transcriptional repressor PurR-hypoxanthine
Pasp56 RcsB DNA-binding-site 41.5 bases upstream of osmCp1	1556554.5	Regulation of osmCp1 by DNA-binding transcriptional dual regulator RcsB-phosphorylated
SoxS DNA-binding-site 56.5 bases upstream of fprp	4114555.5	Regulation of fprp by DNA-binding transcriptional dual regulator SoxS
IHF DNA-binding-site 193 bases upstream of yeiLp	2255097	Regulation of yeiLp by DNA-binding transcriptional dual regulator IHF
ArgR DNA-binding-site 50.5 bases upstream of artPp	903819.5	Regulation of artPp by DNA-binding transcriptional dual regulator ArgR
NtrC phosphorylated dimer DNA-binding-site 190 bases upstream of argTp	2428039	Regulation of argTp by NtrC phosphorylated dimer
Fis DNA-binding-site 20 bases downstream of topAp1	1330999	Regulation of topAp1 by DNA-binding transcriptional dual regulator Fis
IHF DNA-binding-site 24 bases upstream of sodAp	4100735	Regulation of sodAp by DNA-binding transcriptional dual regulator IHF
Rob DNA-binding-site 51.5 bases upstream of acnAp2	1335729.5	Regulation of acnAp2 by DNA-binding transcriptional dual regulator Rob
FliZ DNA-binding-site regulating csgDp		Regulation of csgDp by DNA-binding transcriptional regulator FliZ // Regulation of csgDp2 by DNA-binding transcriptional regulator FliZ
Cra DNA-binding-site 45.5 bases upstream of crpp1	3485907.5	Regulation of crpp1 by DNA-binding transcriptional dual regulator Cra
Cra DNA-binding-site 563.5 bases upstream of csgDp3	1103907.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator Cra // Regulation of csgDp1 by DNA-binding transcriptional dual regulator Cra
MatA DNA-binding-site regulating fliCp		Regulation of fliCp by DNA-binding transcriptional dual regulator MatA
DNA-binding transcriptional dual regulator Fur DNA-binding-site 83 bases upstream of ftnAp	1988599	Regulation of ftnAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
CpxR-phosphorylated DNA-binding-site 43 bases upstream of csgDp3	1103387	Regulation of csgDp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Fis DNA-binding-site 134 bases upstream of rrsHp	223351	Regulation of rrsHp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsHp1 by DNA-binding transcriptional dual regulator Fis
Fis DNA-binding-site 117 bases upstream of grcAp1	2716640	Regulation of grcAp1 by DNA-binding transcriptional dual regulator Fis
Fis DNA-binding-site 126 bases upstream of cspAp1	3719763	Regulation of cspAp1 by DNA-binding transcriptional dual regulator Fis
PhoP-Pasp51 DNA-binding-site 28 bases upstream of yrbLp	3348393	Regulation of yrbLp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
GlaR DNA-binding-site regulating ygjI	3225810	Regulation of ygjI by DNA-binding transcriptional repressor GlaR
Cra DNA-binding-site 7.5 bases downstream of fruBp	2263590.5	Regulation of fruBp by DNA-binding transcriptional dual regulator Cra
NarL-Pasp59 DNA-binding-site 89 bases upstream of narGp	1279718	Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated
OxyR DNA-binding-site 24 bases downstream of flup	2071340	Regulation of flup by DNA-binding transcriptional dual regulator OxyR
Fnr DNA-binding-site regulating garPp		Regulation of garPp by DNA-binding transcriptional dual regulator FNR
